service_id,date,exception_type
L-V,20260101,2
L-V,20260106,2
L-V_Lectivo,20260216,2
L-V_Lectivo,20260217,2
L-V_Lectivo,20260327,2
L-V_Lectivo,20260330,2
L-V_Lectivo,20260331,2
L-V_Lectivo,20260401,2
L-V_Lectivo,20260402,2
L-V,20260402,2
L-V,20260403,2
L-V_Lectivo,20260403,2
L-V_Lectivo,20260406,2
L-V,20260423,2
L-V_Lectivo,20260423,2
L-V_Lectivo,20260424,2
L-V_Lectivo,20260501,2
L-V,20260501,2
L-V_Lectivo,20260522,2
L-V_Lectivo,20260529,2
L-V_Lectivo,20260624,2
L-V_Lectivo,20260625,2
L-V_Lectivo,20260626,2
L-V_Lectivo,20260629,2
L-V_Lectivo,20260630,2
L-V_Lectivo,20260701,2
L-V_Lectivo,20260702,2
L-V_Lectivo,20260703,2
L-V_Lectivo,20260706,2
L-V_Lectivo,20260707,2
L-V_Lectivo,20260708,2
L-V_Lectivo,20260709,2
L-V_Lectivo,20260710,2
L-V_Lectivo,20260713,2
L-V_Lectivo,20260714,2
L-V_Lectivo,20260715,2
L-V_Lectivo,20260716,2
L-V_Lectivo,20260717,2
L-V_Lectivo,20260720,2
L-V_Lectivo,20260721,2
L-V_Lectivo,20260722,2
L-V_Lectivo,20260723,2
L-V_Lectivo,20260724,2
L-V_Lectivo,20260727,2
L-V_Lectivo,20260728,2
L-V_Lectivo,20260729,2
L-V_Lectivo,20260730,2
L-V_Lectivo,20260731,2
L-V_Lectivo,20260803,2
L-V_Lectivo,20260804,2
L-V_Lectivo,20260805,2
L-V_Lectivo,20260806,2
L-V_Lectivo,20260807,2
L-V_Lectivo,20260810,2
L-V_Lectivo,20260811,2
L-V_Lectivo,20260812,2
L-V_Lectivo,20260813,2
L-V_Lectivo,20260814,2
S,20260815,2
L-V_Lectivo,20260817,2
L-V_Lectivo,20260818,2
L-V_Lectivo,20260819,2
L-V_Lectivo,20260820,2
L-V_Lectivo,20260821,2
L-V_Lectivo,20260824,2
L-V_Lectivo,20260825,2
L-V_Lectivo,20260826,2
L-V_Lectivo,20260827,2
L-V_Lectivo,20260828,2
L-V_Lectivo,20260831,2
L-V_Lectivo,20260901,2
L-V_Lectivo,20260902,2
L-V_Lectivo,20260903,2
L-V_Lectivo,20260904,2
L-V,20260914,2
L-V,20260915,2
L-V,20261012,2
L-V,20261102,2
L-V,20261207,2
L-V,20261208,2
L-V,20261225,2
