trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint
L1_LV_AMB_0900,1,1,09:00:00,09:00:00,1
L1_LV_AMB_0900,2,2,09:02:01,09:02:01,1
L1_LV_AMB_0900,3,3,09:03:04,09:03:04,1
L1_LV_AMB_0900,4,4,09:05:18,09:05:18,1
L1_LV_AMB_0900,5,5,09:07:15,09:07:15,1
L1_LV_AMB_0900,6,6,09:08:34,09:08:34,1
L1_LV_AMB_0900,7,7,09:09:31,09:09:31,1
L1_LV_AMB_0900,8,8,09:11:44,09:11:44,1
L1_LV_AMB_0900,9,9,09:13:23,09:13:23,1
L1_LV_AMB_0900,10,10,09:14:53,09:14:53,1
L1_LV_AMB_0900,11,11,09:17:34,09:17:34,1
L1_LV_AMB_0900,12,12,09:20:01,09:20:01,1
L1_LV_AMB_0900,13,13,09:21:05,09:21:05,1
L1_LV_AMB_0900,14,14,09:22:32,09:22:32,1
L1_LV_AMB_0900,15,15,09:24:10,09:24:10,1
L1_LV_AMB_0900,16,16,09:26:10,09:26:10,1
L1_LV_AMB_0900,17,17,09:27:48,09:27:48,1
L1_LV_AMB_0900,18,18,09:28:35,09:28:35,1
L1_LV_AMB_0900,19,19,09:29:38,09:29:38,1
L1_LV_AMB_0900,20,20,09:31:23,09:31:23,1
L1_LV_AMB_0900,21,21,09:32:44,09:32:44,1
L1_LV_AMB_0900,22,22,09:34:06,09:34:06,1
L1_LV_AMB_0900,23,23,09:35:19,09:35:19,1
L1_LV_AMB_0900,24,24,09:36:48,09:36:48,1
L1_LV_AMB_0900,25,25,09:37:55,09:37:55,1
L1_LV_AMB_0900,26,26,09:38:57,09:38:57,1
L1_LV_AMB_0900,27,27,09:39:35,09:39:35,1
L1_LV_PLZ_0900,12,1,09:00:00,09:00:00,1
L1_LV_PLZ_0900,13,2,09:01:04,09:01:04,1
L1_LV_PLZ_0900,14,3,09:02:31,09:02:31,1
L1_LV_PLZ_0900,15,4,09:04:09,09:04:09,1
L1_LV_PLZ_0900,16,5,09:06:09,09:06:09,1
L1_LV_PLZ_0900,17,6,09:07:47,09:07:47,1
L1_LV_PLZ_0900,18,7,09:08:34,09:08:34,1
L1_LV_PLZ_0900,19,8,09:09:37,09:09:37,1
L1_LV_PLZ_0900,20,9,09:11:22,09:11:22,1
L1_LV_PLZ_0900,21,10,09:12:43,09:12:43,1
L1_LV_PLZ_0900,22,11,09:14:05,09:14:05,1
L1_LV_PLZ_0900,23,12,09:15:18,09:15:18,1
L1_LV_PLZ_0900,24,13,09:16:47,09:16:47,1
L1_LV_PLZ_0900,25,14,09:17:54,09:17:54,1
L1_LV_PLZ_0900,26,15,09:18:56,09:18:56,1
L1_LV_PLZ_0900,27,16,09:20:01,09:20:01,1
L1_LV_PLZ_0900,1,17,09:20:30,09:20:30,1
L1_LV_PLZ_0900,2,18,09:22:31,09:22:31,1
L1_LV_PLZ_0900,3,19,09:23:34,09:23:34,1
L1_LV_PLZ_0900,4,20,09:25:48,09:25:48,1
L1_LV_PLZ_0900,5,21,09:27:45,09:27:45,1
L1_LV_PLZ_0900,6,22,09:29:04,09:29:04,1
