trip_id,route_id,shape_id,service_id,trip_headsign,direction_id,trip_short_name,block_id,wheelchair_accessible,bikes_allowed
L1_LV_AMB_0900,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_0940,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1020,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1100,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1130,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1210,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1250,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1500,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1540,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1620,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1700,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1740,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_1820,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_AMB_2030,1,Linea_1,L-V,Aranda (Amb. Norte),,,,1,
L1_LV_PLZ_0900,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_0940,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1020,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1100,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1130,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1210,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1250,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1500,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1540,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1620,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
L1_LV_PLZ_1700,1,Linea_1,L-V,Aranda (Plz. Mediterráneo),,,,1,
